dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.001000,4.329184,0.001250,0.050000,1.000000,20.000000,0.000634
0.050000,0.005136,4.329192,0.005386,0.082726,0.654525,-6.909493,0.003258
0.050000,0.013406,4.329241,0.013657,0.165405,1.653578,19.981063,0.008512
0.050000,0.025805,4.329396,0.026056,0.247997,1.651837,-0.034829,0.016411
0.050000,0.042325,4.329754,0.042580,0.330478,1.649613,-0.044472,0.026970
0.050000,0.062956,4.330447,0.063223,0.412847,1.647395,-0.044378,0.040208
0.050000,0.087684,4.331639,0.087980,0.495140,1.645859,-0.030705,0.056134
0.050000,0.116494,4.333527,0.116851,0.577435,1.645895,0.000715,0.074749
0.050000,0.149367,4.336341,0.149845,0.659865,1.648604,0.054181,0.096032
0.050000,0.186282,4.340343,0.186976,0.742630,1.655291,0.133733,0.119933
0.050000,0.227217,4.345826,0.228276,0.826001,1.667414,0.242474,0.146358
0.050000,0.272146,4.353114,0.273793,0.910326,1.686498,0.381662,0.175163
0.050000,0.321044,4.362554,0.323594,0.996024,1.713978,0.549610,0.206139
0.050000,0.373886,4.374517,0.377772,1.083575,1.751011,0.740664,0.239005
0.050000,0.430643,4.389392,0.436447,1.173487,1.798242,0.944606,0.273401
0.050000,0.491289,4.407575,0.499760,1.266266,1.855589,1.146953,0.308893
0.050000,0.555796,4.429463,0.567879,1.362372,1.922112,1.330462,0.344975
0.050000,0.624133,4.455441,0.640987,1.462172,1.996008,1.477905,0.381087
0.050000,0.696275,4.485868,0.719283,1.565912,2.074787,1.575580,0.416630
0.050000,0.772197,4.521067,0.802968,1.673693,2.155618,1.616629,0.450992
0.050000,0.850892,4.560786,0.891118,1.763013,1.786414,-7.384083,0.483179
0.050000,0.930387,4.604006,0.981603,1.809693,0.933594,-17.056394,0.512075
0.050000,1.009740,4.649969,1.073306,1.834061,0.487366,-8.924562,0.537272
0.050000,1.089020,4.698399,1.166208,1.858044,0.479649,-0.154334,0.558829
0.050000,1.168317,4.749018,1.260284,1.881514,0.469406,-0.204872,0.576822
0.050000,1.247737,4.801550,1.355506,1.904434,0.458394,-0.220226,0.591335
0.050000,1.327404,4.855724,1.451847,1.926832,0.447954,-0.208808,0.602447
0.050000,1.407458,4.911273,1.549286,1.948784,0.439057,-0.177937,0.610225
0.050000,1.488055,4.967934,1.647807,1.970403,0.432375,-0.133636,0.614721
0.050000,1.569363,5.025444,1.747398,1.991820,0.428338,-0.080753,0.615963
0.050000,1.651565,5.083539,1.848057,2.013179,0.427176,-0.023235,0.613961
0.050000,1.734856,5.141951,1.949788,2.034626,0.428951,0.035508,0.608701
0.050000,1.819439,5.200402,2.052603,2.056305,0.433562,0.092218,0.600148
0.050000,1.905529,5.258603,2.156520,2.078341,0.440732,0.143398,0.588247
0.050000,1.993343,5.316244,2.261562,2.100840,0.449978,0.184925,0.572927
0.050000,2.083101,5.372994,2.367756,2.123868,0.460564,0.211711,0.554108
0.050000,2.175019,5.428491,2.475128,2.147440,0.471436,0.217448,0.531706
0.050000,2.269298,5.482342,2.583702,2.171498,0.481164,0.194558,0.505648
0.050000,2.365832,5.533967,2.693174,2.189425,0.358528,-2.452729,0.475974
0.050000,2.463184,5.582185,2.801812,2.172772,-0.333058,-13.831706,0.443250
0.050000,2.559010,5.625687,2.907050,2.104760,-1.360234,-20.543539,0.408573
0.050000,2.652002,5.664012,3.007630,2.011602,-1.863170,-10.058720,0.372857
0.050000,2.741756,5.697279,3.103351,1.914421,-1.943604,-1.608673,0.336713
0.050000,2.827854,5.725702,3.194019,1.813354,-2.021345,-1.554820,0.300732
0.050000,2.909884,5.749574,3.279453,1.708673,-2.093616,-1.445418,0.265463
0.050000,2.987464,5.769260,3.359491,1.600770,-2.158068,-1.289044,0.231397
0.050000,3.060251,5.785172,3.433997,1.490115,-2.213089,-1.100421,0.198950
0.050000,3.127952,5.797754,3.502858,1.377219,-2.257938,-0.896980,0.168465
0.050000,3.190331,5.807459,3.565987,1.262583,-2.292712,-0.695466,0.140204
0.050000,3.247201,5.814738,3.623321,1.146674,-2.318183,-0.509437,0.114361
0.050000,3.298424,5.820018,3.674816,1.029895,-2.335586,-0.348045,0.091068
0.050000,3.343904,5.823698,3.720444,0.912575,-2.346384,-0.215976,0.070407
0.050000,3.383578,5.826137,3.760193,0.794971,-2.352093,-0.114170,0.052420
0.050000,3.417407,5.827653,3.794056,0.677264,-2.354137,-0.040885,0.037124
0.050000,3.445373,5.828515,3.822035,0.559575,-2.353775,0.007244,0.024515
0.050000,3.467467,5.828947,3.844133,0.441972,-2.352058,0.034343,0.014580
0.050000,3.483690,5.829124,3.860357,0.324481,-2.349823,0.044694,0.007302
0.050000,3.494045,5.829176,3.870712,0.207096,-2.347704,0.042391,0.002664
0.050000,3.498878,5.829184,3.875545,0.096659,-2.208735,2.779367,0.000502
0.050000,3.500000,5.829184,3.876668,0.022445,-1.484271,14.489278,6.283185
0.050000,3.500000,5.829184,3.876668,0.000000,-0.448910,20.707235,6.283185
