dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.001417,3.670816,0.001250,0.050000,1.000000,20.000000,0.000634
0.050000,0.007281,3.670828,0.007114,0.117274,1.345473,6.909469,0.003258
0.050000,0.019010,3.670897,0.018843,0.234594,2.346413,20.018800,0.008512
0.050000,0.036609,3.671116,0.036443,0.352001,2.348141,0.034550,0.016411
0.050000,0.060080,3.671625,0.059919,0.469519,2.350343,0.044048,0.026970
0.050000,0.089420,3.672611,0.089277,0.587145,2.352534,0.043807,0.040208
0.050000,0.124622,3.674308,0.124519,0.704847,2.354033,0.029985,0.056134
0.050000,0.165661,3.676997,0.165646,0.822545,2.353954,-0.001574,0.074749
0.050000,0.212495,3.681006,0.212651,0.940104,2.351196,-0.055163,0.096032
0.050000,0.265053,3.686704,0.265518,1.057327,2.344456,-0.134796,0.119933
0.050000,0.323231,3.694497,0.324215,1.173941,2.332279,-0.243557,0.146358
0.050000,0.386879,3.704820,0.388695,1.289598,2.313145,-0.382670,0.175163
0.050000,0.455801,3.718124,0.458889,1.403880,2.285624,-0.550421,0.206139
0.050000,0.529745,3.734864,0.534704,1.516308,2.248567,-0.741132,0.239005
0.050000,0.608408,3.755477,0.616023,1.626375,2.201338,-0.944587,0.273401
0.050000,0.691436,3.780367,0.702702,1.733576,2.144022,-1.146319,0.308893
0.050000,0.778438,3.809884,0.794574,1.837454,2.077565,-1.329143,0.344975
0.050000,0.869000,3.844303,0.891457,1.937643,2.003769,-1.475912,0.381087
0.050000,0.962704,3.883818,0.993152,2.033899,1.925118,-1.573022,0.416630
0.050000,1.059152,3.928525,1.099458,2.126120,1.844433,-1.613704,0.450992
0.050000,1.156767,3.977787,1.208798,2.186816,1.213915,-12.610363,0.483179
0.050000,1.252979,4.030087,1.318307,2.190168,0.067033,-22.937641,0.512075
0.050000,1.346689,4.084360,1.426598,2.165833,-0.486699,-11.074637,0.537272
0.050000,1.438083,4.140184,1.533692,2.141879,-0.479082,0.152341,0.558829
0.050000,1.527366,4.197173,1.639614,2.118432,-0.468936,0.202919,0.576822
0.050000,1.614757,4.254974,1.744390,2.095531,-0.458017,0.218372,0.591335
0.050000,1.700475,4.313261,1.848048,2.073148,-0.447663,0.207077,0.602447
0.050000,1.784738,4.371728,1.950608,2.051205,-0.438847,0.176325,0.610225
0.050000,1.867756,4.430090,2.052088,2.029593,-0.432241,0.132124,0.614721
0.050000,1.949732,4.488072,2.152497,2.008180,-0.428275,0.079311,0.615963
0.050000,2.030857,4.545407,2.251838,1.986820,-0.427184,0.021827,0.613961
0.050000,2.111312,4.601831,2.350106,1.965369,-0.429030,-0.036921,0.608701
0.050000,2.191262,4.657083,2.447290,1.943683,-0.433714,-0.093674,0.600148
0.050000,2.270860,4.710897,2.543372,1.921635,-0.440960,-0.144931,0.588247
0.050000,2.350241,4.763006,2.638328,1.899121,-0.450289,-0.186563,0.572927
0.050000,2.429525,4.813137,2.732132,1.876073,-0.460962,-0.213471,0.554108
0.050000,2.508814,4.861015,2.824756,1.852476,-0.471929,-0.219329,0.531706
0.050000,2.588195,4.906361,2.916175,1.828388,-0.481755,-0.196528,0.505648
0.050000,2.667499,4.948779,3.006111,1.798711,-0.593547,-2.235831,0.475974
0.050000,2.745543,4.987440,3.093206,1.741900,-1.136221,-10.853483,0.443250
0.050000,2.820579,5.021510,3.175615,1.648181,-1.874388,-14.763356,0.408573
0.050000,2.891831,5.050880,3.252682,1.541338,-2.136846,-5.249146,0.372857
0.050000,2.959272,5.075881,3.324608,1.438525,-2.056269,1.611532,0.336713
0.050000,3.022875,5.096881,3.391588,1.339605,-1.978406,1.557260,0.300732
0.050000,3.082611,5.114268,3.453803,1.244302,-1.906043,1.447259,0.265463
0.050000,3.138452,5.128440,3.511414,1.152226,-1.841533,1.290202,0.231397
0.050000,3.190371,5.139791,3.564560,1.062901,-1.786488,1.100904,0.198950
0.050000,3.238340,5.148706,3.613350,0.975819,-1.741644,0.896875,0.168465
0.050000,3.282335,5.155552,3.657874,0.890474,-1.706899,0.694904,0.140204
0.050000,3.322328,5.160670,3.698194,0.806401,-1.681470,0.508569,0.114361
0.050000,3.358298,5.164378,3.734354,0.723195,-1.664120,0.347011,0.091068
0.050000,3.390220,5.166961,3.766380,0.640526,-1.653375,0.214891,0.070407
0.050000,3.418074,5.168674,3.794287,0.558140,-1.647719,0.113121,0.052420
0.050000,3.441843,5.169739,3.818080,0.475854,-1.645723,0.039930,0.037124
0.050000,3.461511,5.170345,3.837757,0.393548,-1.646126,-0.008072,0.024515
0.050000,3.477066,5.170649,3.853315,0.311154,-1.647878,-0.035027,0.014580
0.050000,3.488497,5.170774,3.864747,0.228647,-1.650139,-0.045230,0.007302
0.050000,3.495799,5.170810,3.872049,0.146033,-1.652278,-0.042781,0.002664
0.050000,3.499208,5.170816,3.875458,0.068188,-1.556904,1.907497,0.000502
0.050000,3.500000,5.170816,3.876250,0.015837,-1.047017,10.197731,6.283185
0.050000,3.500000,5.170816,3.876250,0.000000,-0.316735,14.605641,6.283185
